id,date,umpire,home,away,home_team_runs,away_team_runs,pitches_called,incorrect_calls,correct_calls,accuracy,consistency,favor_home,total_run_impact
1,2022-11-05,53,11,21,4,1,124,4,120,96.8,97.6,0.09,0.75
2,2022-11-03,51,21,11,2,3,149,6,143,96,97.3,-0.12,0.58
3,2022-11-02,90,21,11,0,5,124,7,117,94.4,92.7,-0.1,0.56
4,2022-11-01,29,21,11,7,0,140,5,135,96.4,92.9,0.63,0.73
5,2022-10-29,71,11,21,5,2,129,0,129,100,96.1,0,0
6,2022-10-28,39,11,21,5,6,173,10,163,94.2,91.9,0.13,0.85
7,2022-10-23,74,21,23,4,3,132,4,128,97,95.5,0.09,0.49
8,2022-10-23,3,19,11,5,6,164,8,156,95.1,90.9,1.02,1.38
9,2022-10-22,7,19,11,0,5,158,9,149,94.3,96.2,0.55,1.27
10,2022-10-22,2,21,23,10,6,144,8,136,94.4,96.5,0.43,0.79
11,2022-10-21,87,21,23,4,2,144,6,138,95.8,92.4,-0.07,0.45
12,2022-10-20,27,11,19,3,2,126,6,120,95.2,93.7,-0.13,0.67
13,2022-10-19,54,23,21,8,5,160,6,154,96.2,91.9,0.05,0.85
14,2022-10-19,66,11,19,4,2,149,9,140,94,93.3,0.43,1.49
15,2022-10-18,4,19,7,5,1,132,6,126,95.5,95.5,0.24,0.56
16,2022-10-18,14,23,21,0,2,118,4,114,96.6,94.9,0.13,0.25
17,2022-10-16,92,7,19,2,4,130,5,125,96.2,96.2,-0.21,0.47
18,2022-10-15,86,21,2,8,3,129,8,121,93.8,92.2,0.65,1.17
19,2022-10-15,64,24,11,0,1,219,16,203,92.7,92.2,-0.68,1.72
20,2022-10-15,29,7,19,6,5,149,9,140,94,96.6,-0.92,1.26
21,2022-10-15,50,23,14,5,3,158,11,147,93,94.9,1.14,1.8
22,2022-10-14,42,19,7,2,4,197,13,184,93.4,91.9,-0.11,1.97
23,2022-10-14,11,21,2,9,1,128,10,118,92.2,89.8,0.47,0.93
24,2022-10-14,60,23,14,2,1,178,8,170,95.5,95.5,0.82,1.72
25,2022-10-13,40,11,24,4,2,141,7,134,95,96.5,0.35,0.81
26,2022-10-12,69,2,21,3,0,112,7,105,93.8,95.5,0.14,0.88
27,2022-10-12,24,14,23,3,5,160,11,149,93.1,91.9,0.58,1.58
28,2022-10-11,32,2,21,6,7,164,4,160,97.6,96.3,-0.4,0.78
29,2022-10-11,71,11,24,8,7,146,6,140,95.9,94.5,0.39,0.79
30,2022-10-11,51,19,7,4,1,121,7,114,94.2,93.4,-0.5,1.16
31,2022-10-11,90,14,23,5,3,138,10,128,92.8,94.2,0.24,0.92
